movie_name;adj_gross_ltv
Gone with the Wind;1850581586
Star Wars: Episode IV - A New Hope;1629496559
The Sound of Music;1303502105
E.T. the Extra-Terrestrial;1297730421
Titanic;1240054754
The Ten Commandments;1198431667
Jaws;1172447655
Doctor Zhivago;1135632932
The Exorcist;1011798348
Snow White and the Seven Dwarfs;997168333
Star Wars: Episode VII - The Force Awakens;989072973
One Hundred and One Dalmatians;914076766
Star Wars: Episode V - The Empire Strikes Back;899035076
Ben-Hur;896965723
Avatar;890220657
Avengers: Endgame;871551653
Star Wars: Episode VI - Return of the Jedi;860486744
Jurassic Park;839814255
Star Wars: Episode I - The Phantom Menace;826205195
The Lion King;815540983
The Sting;815508963
Indiana Jones and the Raiders of the Lost Ark;810024538
The Graduate;782885092
Fantasia;759709619
The Godfather;722009337
Forrest Gump;719398403
Mary Poppins;715233167
Grease;705323692
The Avengers;703334845
Jurassic World;702496857
Black Panther;698123039
Thunderball;684295333
The Dark Knight;681216919
The Jungle Book;674048285
Sleeping Beauty;664864273
Avengers: Infinity War;662519555
Ghostbusters;652072159
Shrek 2;649997317
Spider-Man;646112934
Butch Cassidy and the Sundance Kid;645487188
Love Story;640515984
Independence Day;633694987
Home Alone;619655040
Star Wars: Episode VIII - The Last Jedi;618377017
Pinocchio;616627856
Cleopatra;614617052
Beverly Hills Cop;614310583
Goldfinger;606534500
Incredibles 2;606527181
Airport;604808209
American Graffiti;601176321
The Robe;598799584
Pirates of the Caribbean: Dead Man's Chest;591242146
Around the World in 80 Days;591123218
Bambi;582862273
Blazing Saddles;578536941
Batman;576091591
The Bells of St. Mary's;574013090
The Lord of the Rings: The Return of the King;563900522
Finding Nemo;563413831
The Towering Inferno;561485362
Rogue One: A Star Wars Story;552939904
The Lion King;551852167
Cinderella;551657308
Spider-Man 2;550351840
My Fair Lady;549469026
The Greatest Show on Earth;548900000
National Lampoon's Animal House;547896428
The Passion of the Christ;546199412
Star Wars: Episode III - Revenge of the Sith;542721216
Back to the Future;542087236
The Lord of the Rings: The Two Towers;528091201
The Dark Knight Rises;526777500
The Sixth Sense;526752800
Superman;524967960
Tootsie;520575845
Beauty and the Beast;520064453
Smokey and the Bandit;519926313
Finding Dory;513753018
Harry Potter and the Sorcerer's Stone;513616708
West Side Story;512423765
Close Encounters of the Third Kind;511600415
Lady and the Tramp;509881443
Lawrence of Arabia;507156155
The Rocky Horror Picture Show;503793228
Rocky;503524267
The Best Years of Our Lives;503158333
Star Wars: Episode IX - The Rise of Skywalker;503014704
The Poseidon Adventure;502261797
The Lord of the Rings: The Fellowship of the Ring;501323178
Twister;500304968
Men in Black;499651777
The Bridge on the River Kwai;497669333
Transformers: Revenge of the Fallen;493103400
It's a Mad Mad Mad Mad World;492870118
Swiss Family Robinson;492253520
One Flew Over the Cuckoo's Nest;491131934
MASH;491120956
Indiana Jones and the Temple of Doom;489735899
Star Wars: Episode II - Attack of the Clones;489147661
Avengers: Age of Ultron;488076391
Toy Story 3;487966611
Mrs. Doubtfire;481974453
Aladdin;479759641
Ghost;470820805
The Hunger Games: Catching Fire;467613399
Duel in the Sun;466751626
Frozen II;466080138
The Hunger Games;465314423
Pirates of the Caribbean: The Curse of the Black Pearl;463353020
House of Wax;462282665
Rear Window;460661580
The Lost World: Jurassic Park;456593317
Monsters, Inc.;452157290
Indiana Jones and the Last Crusade;452078614
Frozen;448852912
Spider-Man 3;447484321
Iron Man 3;446889679
Terminator 2: Judgment Day;446188002
Harry Potter and the Deathly Hallows: Part 2;441015535
Toy Story 4;440663324
How the Grinch Stole Christmas;440384300
Sergeant York;440247075
Top Gun;439397194
Toy Story;438940693
Toy Story 2;437624247
Captain Marvel;433383080
Shrek;432630172
Shrek the Third;429120872
Despicable Me 2;429002858
Captain America: Civil War;427732155
The Matrix Reloaded;427189658
Transformers;424501878
Crocodile Dundee;422675871
Wonder Woman;422126056
Jurassic World: Fallen Kingdom;420312856
The Four Horsemen of the Apocalypse;420076829
Saving Private Ryan;419026601
Young Frankenstein;417596716
Peter Pan;417378986
Gremlins;416374499
Harry Potter and the Goblet of Fire;415273954
Beauty and the Beast;415002249
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;413286936
Harry Potter and the Chamber of Secrets;412959426
Pirates of the Caribbean: At World's End;411436228
The Fugitive;406161299
Iron Man;406110984
The Caine Mutiny;406074390
Transformers: Dark of the Moon;404913467
Meet the Fockers;404109328
Indiana Jones and the Kingdom of the Crystal Skull;404031567
Jumanji: Welcome to the Jungle;403733332
2001: A Space Odyssey;399991663
Dances with Wolves;399775763
An Officer and a Gentleman;399387873
Guardians of the Galaxy Vol. 2;398469381
Spider-Man: Far from Home;396491511
Rain Man;396046902
The Secret Life of Pets;395883147
Guess Who's Coming to Dinner;395729455
American Sniper;394110200
Kramer vs. Kramer;393563130
Armageddon;393199026
Psycho;390329194
Harry Potter and the Order of the Phoenix;390214840
Inside Out;389376852
Rocky III;388924925
Rambo: First Blood Part II;387619457
Batman Forever;387067813
Deadpool;386910462
Pretty Woman;385843766
Earthquake;385617802
Alice in Wonderland;385163130
The Incredibles;384504450
Cast Away;383262106
Home Alone 2: Lost in New York;382854091
The Jungle Book;381583387
Three Men and a Baby;381520264
My Big Fat Greek Wedding;378919392
Guardians of the Galaxy;377235184
Furious 7;375299397
Mission: Impossible;374588571
The Hunger Games: Mockingjay - Part 1;372583257
Minions;372467073
Harry Potter and the Half-Blood Prince;372177071
Saturday Night Fever;371465330
On Golden Pond;371278704
Austin Powers: The Spy Who Shagged Me;371048166
Harry Potter and the Prisoner of Azkaban;369640238
Bruce Almighty;368405213
Funny Girl;366294692
Mission: Impossible II;365610397
Rush Hour 2;365552763
Apollo 13;364631525
Patton;364456792
Fatal Attraction;363012270
Iron Man 2;362898831
Zootopia;362329805
Liar Liar;361569578
